Ships:25
ID:1, Size:5, Handling:8
ID:2, Size:7, Handling:9
ID:3, Size:6, Handling:5
ID:4, Size:5, Handling:7
ID:5, Size:7, Handling:7
ID:6, Size:3, Handling:9
ID:7, Size:3, Handling:10
ID:8, Size:5, Handling:9
ID:9, Size:6, Handling:7
ID:10, Size:6, Handling:5
ID:11, Size:4, Handling:10
ID:12, Size:5, Handling:8
ID:13, Size:5, Handling:9
ID:14, Size:3, Handling:9
ID:15, Size:4, Handling:10
ID:16, Size:3, Handling:9
ID:17, Size:3, Handling:7
ID:18, Size:7, Handling:10
ID:19, Size:4, Handling:8
ID:20, Size:5, Handling:8
ID:21, Size:3, Handling:8
ID:22, Size:5, Handling:7
ID:23, Size:5, Handling:5
ID:24, Size:6, Handling:9
ID:25, Size:5, Handling:6
QuayCapacity:10
